Y	AcctBal	DuraCred	PrevPay	CredAmnt	Savings	CurrEmpl	Gender	Age	House
1	1	36	1	4454	0	0	0	34	0
1	0	6	1	666	1	1	0	39	0
1	0	24	1	1965	1	0	0	42	0
1	0	12	1	1995	1	0	0	27	0
1	0	30	1	2991	1	1	0	25	0
1	0	30	0	4221	0	0	0	28	0
1	0	9	1	1364	0	1	0	59	0
1	0	18	1	6361	0	1	0	41	0
1	1	27	1	4526	1	0	0	32	0
1	0	12	1	3573	0	0	0	23	0
0	0	36	1	4455	0	0	0	30	0
1	0	9	1	2136	0	0	0	25	0
1	0	42	1	5954	0	1	0	41	0
1	1	24	1	3777	1	0	0	40	0
1	0	15	1	806	0	0	0	22	0
1	0	24	1	4712	1	0	0	34	0
1	0	36	1	7432	0	0	0	54	0
1	1	24	1	1851	0	1	1	33	0
1	1	24	1	1393	0	0	0	31	0
1	1	12	1	1412	0	0	0	29	0
1	1	18	1	1473	0	0	1	39	0
1	1	24	1	1533	0	0	0	38	0
1	1	12	1	2012	1	1	0	61	0
0	0	15	1	3959	0	0	0	29	0
1	0	6	1	428	0	1	0	49	0
1	0	12	1	2366	1	1	0	36	0
1	1	12	1	763	0	0	0	26	0
1	0	21	1	3976	1	1	0	35	0
1	0	18	1	6260	0	1	0	28	0
1	0	9	1	1919	0	1	0	35	0
1	1	24	1	2603	1	0	0	28	0
1	1	9	1	936	1	1	0	52	0
1	1	24	1	3062	1	1	0	32	0
1	0	36	1	4795	0	0	0	30	0
1	1	36	1	5842	0	1	0	35	0
1	0	6	1	2063	0	0	1	30	0
1	1	15	1	1459	0	0	0	43	0
1	1	15	1	1213	1	1	0	47	0
1	1	24	1	5103	0	0	1	47	1
1	1	15	1	874	1	0	0	24	0
1	1	6	1	2978	1	0	0	32	0
1	1	18	1	1820	0	0	1	30	0
1	1	24	1	2872	1	1	0	36	0
1	0	24	1	1925	0	0	0	26	0
1	1	18	1	2515	0	0	0	43	0
1	0	6	1	2116	0	0	0	41	0
1	1	18	1	1453	0	0	0	26	0
1	1	10	1	1364	0	0	0	64	0
1	1	6	1	1543	1	0	0	33	0
1	0	12	1	1318	1	1	0	54	0
1	0	24	0	2325	1	1	0	32	0
1	0	6	1	932	1	1	0	39	0
1	0	24	1	3148	1	0	0	31	0
1	1	36	1	3835	1	1	0	45	0
1	1	9	1	3832	1	1	0	64	0
1	0	24	1	5084	1	1	0	42	0
1	1	9	1	2406	0	0	0	31	0
1	1	36	1	2394	1	0	0	25	0
1	1	21	1	2476	1	1	0	46	0
1	0	24	1	2964	1	1	0	49	1
1	0	12	1	1262	1	1	0	49	0
1	1	12	1	1542	0	1	0	36	0
1	0	24	1	1743	0	1	0	48	0
1	0	12	0	409	1	0	0	42	0
1	1	12	1	2171	0	0	0	29	0
1	1	48	1	8858	1	1	0	35	1
1	0	24	1	3512	1	1	0	38	0
1	0	12	1	1158	1	0	0	26	0
1	1	24	1	2684	0	0	0	35	0
1	0	12	1	1498	0	0	0	23	0
1	1	30	1	5954	0	1	0	38	0
0	0	48	0	6416	0	1	0	59	0
1	0	12	1	3617	0	1	0	28	0
1	1	12	1	1291	0	0	0	35	0
1	0	24	1	1275	1	0	0	36	0
1	1	24	1	3972	0	1	0	25	0
1	1	15	1	3343	0	0	0	28	1
1	0	15	1	392	0	0	0	23	0
1	1	9	1	2134	0	0	0	48	0
1	1	30	1	5771	0	1	0	25	0
1	1	24	1	4526	0	0	0	74	0
1	1	15	1	2788	0	1	0	24	0
1	1	6	1	1382	0	0	0	28	0
1	0	36	1	5848	0	0	0	24	0
0	0	12	1	1228	0	0	0	24	0
1	0	12	1	1297	0	0	1	23	0
1	1	24	1	1552	0	1	0	32	0
1	1	12	1	1963	0	1	0	31	0
1	1	24	1	3235	1	1	0	36	0
1	1	24	1	4139	1	0	0	27	0
1	0	12	1	1804	1	0	0	44	0
1	1	18	1	1950	0	1	0	34	0
1	1	48	1	12749	1	1	0	37	0
1	1	9	1	1236	0	0	0	23	0
1	1	18	1	1055	0	0	0	30	0
1	0	30	0	8072	1	0	0	25	0
1	1	30	1	2831	0	0	0	33	0
1	1	9	1	1449	0	1	0	27	0
1	1	36	1	5742	1	1	0	31	0
1	1	12	1	2390	1	1	0	50	0
1	1	24	1	3430	1	1	0	31	0
1	0	36	1	2273	0	1	0	32	0
1	0	21	1	2923	1	0	0	28	0
1	1	24	1	1901	1	0	0	29	0
1	0	36	1	3711	1	0	1	27	0
1	0	48	1	8487	1	1	0	24	0
1	1	24	1	2255	1	0	0	54	0
1	1	12	1	1262	0	0	0	25	0
1	1	33	1	7253	0	1	0	35	0
1	1	6	1	6761	0	1	0	45	0
1	1	18	1	1817	0	0	0	28	0
1	1	12	1	2141	1	1	0	35	0
1	1	48	0	3609	0	0	0	27	0
1	1	30	1	2333	1	1	0	30	0
1	1	28	0	7824	1	0	0	40	0
1	0	18	0	1445	1	1	0	49	0
1	0	24	1	7721	1	0	0	30	0
1	0	21	1	3763	1	1	0	24	0
1	0	18	1	4439	0	1	0	33	0
1	0	12	1	1107	0	0	0	20	0
1	0	15	1	1444	1	0	0	23	0
1	0	48	0	12169	1	0	0	36	1
1	1	9	1	2753	1	1	0	35	0
1	0	4	1	1494	1	0	0	29	0
1	0	24	0	2828	1	0	0	22	0
1	0	24	0	2483	1	0	0	22	0
1	0	6	1	1299	0	0	0	74	0
1	0	9	1	1549	1	0	0	35	0
1	0	10	1	3949	0	0	0	37	0
1	1	10	1	2901	1	0	0	31	0
1	0	6	1	709	1	0	1	27	0
1	0	47	1	10722	0	0	0	35	0
1	1	10	1	1287	1	1	0	45	0
1	0	18	0	1940	0	0	0	36	1
1	0	30	1	3656	1	1	0	49	0
1	1	24	1	4679	0	1	0	35	0
1	1	27	1	8613	1	0	0	27	0
1	0	18	1	2659	1	0	0	28	0
1	1	24	1	1516	1	0	0	43	0
1	0	18	1	4380	1	0	0	35	0
1	1	14	1	802	0	0	0	27	0
1	1	21	1	1572	1	1	0	36	0
1	0	48	0	3566	1	1	0	30	0
1	1	24	1	1278	0	1	0	36	0
1	1	6	0	426	0	1	1	39	0
1	1	39	1	8588	1	1	0	45	0
1	0	30	1	3857	0	0	0	40	0
0	0	12	1	685	0	1	1	25	0
1	0	24	1	1603	0	1	0	55	0
1	1	21	1	2241	0	1	0	50	0
1	0	24	1	2384	0	1	0	64	0
1	1	4	1	601	0	0	0	23	0
1	1	39	1	2569	1	0	0	24	0
1	1	15	1	1316	1	0	1	47	0
1	1	60	1	10366	0	1	0	42	0
1	1	18	1	1568	1	0	0	24	0
1	1	18	1	629	1	1	0	32	0
1	1	6	0	1750	1	1	0	45	0
1	1	24	1	3488	1	1	0	23	0
1	1	18	1	1800	0	0	0	24	0
1	1	24	1	4151	1	0	0	35	0
1	0	15	1	2631	1	0	0	25	0
1	1	21	1	5248	1	0	0	26	0
1	0	18	1	2899	1	1	0	43	0
1	0	18	1	6204	0	0	0	44	0
1	1	12	1	804	0	1	0	38	0
1	1	36	1	3595	0	1	0	28	0
1	1	36	1	5711	1	1	0	38	0
1	0	15	1	2687	0	1	0	26	0
1	0	15	1	3643	0	1	0	27	0
1	1	10	1	2146	0	0	0	23	0
1	0	10	1	2315	0	1	0	52	0
1	1	5	1	3448	0	1	0	74	0
1	1	15	1	2708	0	0	0	27	0
1	1	11	1	1393	0	0	0	35	0
1	0	10	1	1275	0	0	0	23	0
1	1	9	1	1313	0	1	0	20	0
1	1	12	1	1493	0	0	0	34	0
1	1	22	1	2675	1	1	0	40	0
1	0	9	1	2118	0	0	0	37	0
1	1	36	1	909	1	1	0	36	0
1	1	12	1	1258	0	0	0	22	0
1	1	15	0	1569	1	1	0	34	0
1	1	6	1	1236	1	0	0	50	0
1	1	36	1	7678	1	1	0	40	0
1	1	6	1	660	1	1	1	23	0
1	1	24	1	2835	1	1	0	53	0
1	1	24	1	2670	0	1	0	35	0
1	1	12	0	3447	1	0	0	35	0
1	1	15	1	3568	0	1	0	54	0
1	0	21	1	3652	0	1	0	27	0
1	0	24	1	3660	0	0	0	28	0
1	0	9	1	1126	1	1	0	49	0
1	0	6	1	683	0	0	0	29	0
1	0	12	1	2251	0	0	0	46	0
1	1	12	1	4675	1	0	0	20	0
1	0	21	1	2353	0	0	0	47	0
1	0	21	1	3357	1	0	0	29	0
1	1	6	1	672	0	0	0	54	0
1	0	6	1	338	1	1	0	52	0
1	1	9	1	2697	0	0	0	32	0
1	1	9	1	2507	1	1	0	51	1
1	1	15	1	1478	0	0	1	33	0
1	1	12	1	3565	1	0	0	37	0
1	1	15	1	2221	1	0	0	20	0
1	1	6	1	1898	1	0	0	34	0
1	0	6	1	1449	1	1	0	31	0
1	1	15	1	960	1	1	0	30	0
1	1	36	1	8133	0	0	0	30	0
1	1	9	1	2301	1	0	0	22	0
1	1	6	1	1743	1	0	0	34	0
1	0	12	1	983	1	0	0	19	0
1	1	18	1	2320	0	0	1	34	0
1	0	12	0	339	0	1	1	45	0
1	0	24	1	5152	0	1	0	25	0
1	0	24	1	3749	0	0	0	26	0
1	1	9	1	3074	1	0	0	33	0
0	0	9	1	745	0	0	0	28	0
1	1	24	1	1469	1	1	1	41	0
1	0	6	1	1374	0	0	0	36	0
1	1	6	0	783	1	0	0	26	0
1	0	21	1	2606	0	0	0	28	0
1	1	54	0	9436	1	0	0	39	0
1	1	12	1	930	1	1	0	65	0
1	1	48	1	2751	1	1	0	38	0
1	1	6	1	250	1	0	0	41	0
1	0	24	1	1201	0	0	0	26	0
1	0	6	1	662	0	0	0	41	0
1	1	15	1	1300	1	1	0	45	1
1	1	24	0	1559	0	1	0	40	0
1	0	12	1	3016	0	0	1	24	0
1	1	15	1	1360	0	0	0	31	0
1	1	6	0	1204	1	0	0	35	0
1	1	10	1	1597	1	0	0	40	0
1	1	12	1	2073	1	0	0	28	0
1	1	11	1	2142	1	1	0	28	0
1	0	10	1	2132	1	0	0	27	0
1	1	10	1	1546	0	0	0	31	0
1	1	24	1	1287	1	1	0	37	0
1	1	10	1	1418	1	0	0	35	0
1	0	6	1	1343	0	1	0	46	0
1	1	18	1	2662	1	1	0	32	0
1	1	18	1	6070	0	1	0	33	0
1	1	24	1	1927	1	0	0	33	0
1	1	18	1	2404	0	0	0	26	0
1	1	6	1	1554	0	1	0	24	0
1	1	22	1	1283	1	1	0	25	0
1	1	24	1	717	1	1	1	54	0
1	0	24	1	1747	0	0	0	24	0
1	0	9	1	1288	1	1	0	48	0
1	0	10	1	1038	0	1	0	49	0
1	1	10	1	2848	1	0	0	32	0
1	1	12	1	1413	1	1	0	55	0
1	1	30	1	3077	1	1	0	40	0
1	0	24	0	3632	0	0	0	22	0
1	1	18	1	3229	1	0	0	38	0
1	1	9	1	3577	1	0	0	26	0
1	1	12	1	682	1	1	0	51	0
1	1	10	1	1924	0	0	0	38	0
1	1	10	1	727	1	1	0	46	1
1	0	10	1	781	0	1	0	63	1
1	0	12	1	2121	0	0	0	30	0
1	1	12	1	701	0	0	0	32	0
1	1	10	1	2069	1	0	1	26	0
1	1	24	1	1525	1	1	0	34	0
1	1	48	1	7629	1	1	0	46	0
0	0	12	1	3499	0	0	0	29	0
1	1	6	1	1346	1	1	0	42	1
1	1	36	1	10477	1	1	0	42	1
1	0	24	1	2924	0	0	0	63	0
1	1	10	1	1231	0	1	0	32	0
1	0	18	1	1961	0	1	0	23	0
1	1	15	1	5045	1	1	0	59	0
1	1	12	1	1255	0	1	0	61	0
1	0	12	1	1858	0	0	0	22	0
1	1	6	1	1221	1	0	1	27	0
1	1	9	1	1388	0	0	0	26	0
1	1	12	1	2279	1	0	0	37	1
1	1	12	0	2759	0	1	0	34	0
1	0	24	1	1258	1	0	0	57	0
1	0	12	0	1410	0	0	0	31	0
1	0	15	1	1403	0	0	0	28	0
1	0	24	1	3021	0	0	0	24	0
1	0	24	1	6568	0	0	1	21	0
1	1	24	1	2578	1	1	0	34	0
1	0	24	1	7758	1	1	0	29	0
1	0	6	1	343	0	0	0	27	0
1	1	21	1	1591	1	1	0	34	0
1	0	27	1	3416	0	0	0	27	0
0	0	12	0	1108	0	1	0	28	0
1	0	27	1	5965	0	1	0	30	0
1	0	15	1	1514	1	0	0	22	0
1	1	30	1	6742	1	1	0	36	0
1	0	18	1	3650	0	0	0	22	0
1	0	21	1	3599	0	1	0	26	0
1	1	60	1	13756	1	1	0	63	1
1	0	9	1	276	0	0	1	22	0
1	1	42	1	4041	1	0	0	36	0
1	0	9	1	458	0	0	0	24	0
0	0	9	1	918	0	0	0	30	0
1	1	24	1	7393	0	0	0	43	0
1	0	10	1	1225	0	0	0	37	0
1	0	24	1	2812	1	1	0	26	0
1	1	15	1	3029	0	1	0	33	0
1	0	12	1	1480	1	0	0	66	1
1	0	6	1	1047	0	0	0	50	0
1	1	15	1	1471	0	0	0	35	1
1	1	24	1	5511	1	0	0	25	0
1	0	9	1	1206	0	1	0	25	0
1	0	24	1	6403	0	0	0	33	0
1	1	12	1	707	0	0	0	30	0
1	1	12	1	1503	0	0	1	41	0
1	0	12	1	6078	0	1	0	32	0
1	0	27	1	2528	0	0	0	32	0
1	0	12	1	1037	1	1	0	39	0
1	0	6	1	1352	1	0	0	23	0
1	1	24	1	3181	0	0	0	26	0
1	1	18	1	4594	0	0	0	32	0
1	0	48	1	5381	1	0	0	40	1
1	1	15	1	4657	0	0	0	30	0
1	0	9	1	1391	0	0	1	27	0
1	0	18	1	1913	1	0	1	36	0
1	1	42	1	7166	1	1	1	29	0
1	1	13	1	1409	1	0	0	64	0
1	1	24	1	2978	1	0	0	32	0
1	1	12	1	976	1	1	0	35	0
1	1	24	1	2375	1	0	0	44	0
1	1	12	1	522	1	1	0	42	0
1	1	28	1	2743	0	1	0	29	0
1	1	11	1	1154	1	0	0	57	0
1	1	24	1	5804	1	0	0	27	0
1	1	18	1	1169	1	0	0	29	0
1	0	15	1	1478	0	1	0	44	0
1	1	12	1	776	0	0	1	28	0
1	0	11	1	1322	1	0	0	40	0
1	0	16	1	1175	0	0	0	68	1
1	1	12	1	2133	1	1	0	52	1
1	1	15	1	1829	0	1	0	46	0
1	1	12	1	717	0	1	0	52	0
1	0	39	1	11760	1	1	0	32	0
0	0	9	1	1501	0	1	0	34	0
1	0	12	1	1200	1	0	0	23	0
1	0	9	1	3195	1	0	0	33	0
1	1	30	1	4530	0	1	0	26	0
0	1	12	1	1555	1	1	0	55	1
1	0	15	1	2326	1	0	0	27	0
1	0	18	1	1887	1	0	1	28	0
1	1	12	1	1264	1	1	0	57	0
1	1	7	1	846	1	1	0	36	1
1	1	15	1	1532	1	0	0	31	0
1	1	6	1	935	0	0	0	24	0
1	0	27	1	2442	0	1	0	43	0
1	0	18	1	3590	0	0	1	40	0
1	1	21	1	2288	0	0	0	23	0
1	1	27	1	5117	0	1	0	26	0
1	0	39	1	14179	1	1	0	30	0
1	1	15	1	1386	1	0	1	40	0
1	1	12	1	618	0	1	0	56	0
1	1	12	1	1574	0	0	0	50	0
1	1	6	1	700	1	1	0	36	1
1	1	12	1	886	1	0	0	21	0
1	1	36	1	4686	0	0	0	32	1
1	0	9	1	790	1	0	0	66	0
0	0	12	1	766	1	0	0	66	0
1	0	20	1	2212	1	1	0	39	0
1	0	10	1	7308	0	0	0	70	1
1	0	24	1	5743	0	0	0	24	1
1	0	14	1	3973	0	0	0	22	1
1	0	60	1	7418	1	0	0	27	0
1	0	20	1	2629	0	0	0	29	0
1	0	18	1	1941	1	0	0	35	0
1	0	24	1	2333	1	0	0	29	0
1	1	12	1	2445	1	0	1	26	0
1	0	20	1	6468	1	0	0	60	0
1	0	18	1	7374	0	0	0	40	0
1	1	15	1	3812	1	0	0	23	0
0	0	28	1	4006	0	0	0	45	0
1	0	12	1	7472	1	0	0	24	0
1	0	12	1	1424	1	1	0	55	0
1	0	12	1	2028	1	0	0	30	0
1	1	15	1	5324	1	1	0	35	1
1	0	36	1	2323	0	1	0	24	0
1	1	12	1	1393	0	1	0	47	0
1	1	18	1	1984	0	0	0	47	1
1	1	24	1	999	1	1	0	25	0
1	1	36	1	7409	1	1	0	37	0
1	1	15	1	2186	1	1	0	33	0
1	0	36	1	4473	0	1	0	31	0
1	1	24	1	937	0	0	1	27	0
1	1	18	1	3422	0	1	0	47	0
1	1	24	1	3105	1	0	0	25	0
1	1	12	1	2748	0	1	0	57	1
1	0	18	1	3872	0	0	0	67	0
1	1	27	1	5190	1	1	0	48	0
1	0	18	1	3001	0	1	0	40	0
1	1	24	1	3863	0	0	0	32	1
1	1	12	1	5801	1	1	0	49	0
1	1	12	1	1592	1	1	0	35	0
1	1	12	1	1185	0	0	0	27	0
1	1	18	1	3780	0	0	0	35	0
1	0	18	1	3612	0	1	0	37	0
1	1	12	1	1076	0	0	1	26	0
1	1	12	1	3527	1	0	0	45	0
1	1	18	1	2051	0	0	0	33	0
1	1	12	1	3331	0	1	0	42	0
1	0	18	0	3104	0	1	0	31	0
1	1	24	1	2611	0	1	1	46	0
1	0	12	1	1409	0	1	0	54	0
1	1	24	1	1311	1	1	1	26	0
1	1	6	1	2108	0	1	1	29	0
1	1	24	1	4042	1	1	0	43	0
1	1	12	1	926	0	0	0	38	0
1	0	12	1	1680	1	1	1	35	0
1	1	24	1	1249	0	0	1	28	0
1	1	24	1	2463	1	1	1	27	0
1	1	6	1	1595	0	1	0	51	0
1	1	24	1	2058	0	0	0	33	0
1	1	24	1	7814	0	1	0	38	0
1	1	6	1	1740	0	1	1	30	0
1	1	12	1	1240	1	1	0	38	0
1	1	24	1	6842	1	0	0	46	0
1	1	24	1	5150	0	1	0	33	0
1	0	6	1	1203	1	1	0	43	0
1	1	6	1	2080	1	0	1	24	0
1	1	6	1	1538	0	0	0	56	0
1	0	24	1	3878	1	0	0	37	0
1	0	30	1	3832	0	0	1	22	0
1	1	15	1	3186	1	1	0	20	0
1	0	24	1	2896	1	0	0	29	0
1	0	24	1	6967	1	1	0	36	0
0	1	36	1	1819	0	0	0	37	1
0	1	24	1	5943	1	0	0	44	0
0	1	36	1	7127	0	0	0	23	0
0	1	36	1	3349	0	0	0	28	0
0	1	36	1	10974	0	0	0	26	0
1	1	6	1	518	0	0	0	29	0
1	1	18	1	1126	1	0	0	21	0
1	0	12	1	1860	0	0	0	34	0
1	1	36	1	9566	0	0	0	31	0
1	0	12	1	701	0	0	1	40	0
1	0	12	1	2930	0	1	0	27	0
1	1	18	1	1505	0	0	0	32	1
1	1	18	1	2238	0	0	0	25	0
1	1	4	1	1503	0	1	0	42	0
1	1	24	1	2197	1	1	0	43	0
1	0	12	1	1881	0	0	0	44	0
1	0	18	1	1880	0	1	1	32	0
1	0	18	1	2389	0	0	0	27	0
1	0	24	1	1967	0	1	0	20	0
1	1	4	1	3380	0	1	0	37	0
1	1	4	1	1455	0	1	0	42	0
1	1	7	1	730	1	1	0	46	0
1	0	18	0	3244	0	0	0	33	0
0	0	9	1	1670	0	0	0	22	0
1	0	48	1	3979	1	1	0	41	0
0	0	12	1	1922	0	0	0	37	0
1	0	18	1	1295	0	0	0	27	0
1	1	4	1	1544	0	1	0	42	0
1	0	8	1	907	0	0	1	26	0
1	0	30	1	1715	1	0	0	26	0
1	0	10	1	1347	1	1	0	27	0
1	0	12	1	1007	1	0	1	22	0
1	1	12	1	1402	1	1	0	37	0
1	0	12	1	2002	0	1	0	30	0
1	1	12	1	2096	0	1	0	49	0
1	1	12	1	1101	0	0	1	27	0
1	1	10	1	894	1	1	0	40	0
1	0	11	1	1577	1	0	0	20	0
1	1	33	1	2764	0	0	0	26	0
1	0	48	0	8358	1	0	0	30	0
1	0	12	1	1474	0	0	0	33	0
1	1	24	1	5433	1	0	0	26	0
1	0	14	1	1410	1	1	1	35	0
1	1	20	1	3485	1	0	0	44	0
1	1	18	1	3850	0	1	0	27	0
0	0	60	1	7408	1	0	0	24	0
1	0	24	1	1377	1	1	0	47	1
1	1	30	1	4272	1	0	0	26	0
1	0	24	1	1553	1	1	0	23	0
1	0	36	1	9857	1	1	0	31	0
1	1	6	1	362	1	0	0	52	0
1	1	12	1	1935	0	1	0	43	0
1	1	48	1	10222	1	1	0	37	0
1	0	12	1	1330	0	0	0	26	0
1	1	36	1	9055	1	0	0	35	1
1	0	26	1	7966	0	0	0	30	0
1	0	30	0	3496	1	0	0	34	0
1	0	36	1	6948	0	0	0	35	0
1	0	48	0	12204	1	0	0	48	0
0	0	36	1	3446	0	1	0	42	0
0	0	12	1	684	0	0	0	40	0
0	0	33	1	4281	1	0	0	23	0
0	0	42	1	7174	1	1	0	30	0
0	0	24	0	1546	0	1	0	24	0
0	0	24	1	2359	1	0	0	33	0
0	1	24	1	3621	1	1	0	31	0
0	0	12	1	741	1	0	0	22	0
0	0	12	1	7865	0	1	0	53	1
1	0	24	1	2910	0	1	0	34	1
1	0	18	1	5302	0	1	0	36	1
1	0	36	1	3620	0	0	0	37	0
1	0	18	1	3509	0	1	0	25	0
1	0	12	1	3017	0	0	0	34	0
1	0	12	1	1657	0	0	0	27	0
1	0	8	1	1164	0	1	0	51	1
0	0	36	1	6229	0	0	0	23	0
0	0	24	0	1193	0	0	0	29	0
1	0	30	0	4583	0	0	0	32	0
1	0	36	1	5371	0	0	0	28	0
1	0	12	1	708	0	0	0	38	0
1	0	21	1	571	0	1	0	65	0
1	0	30	1	2522	0	1	0	39	0
0	0	36	1	5179	0	1	0	29	0
0	0	36	1	8229	0	0	0	26	0
1	1	24	1	2028	0	1	0	30	0
1	0	6	1	1374	1	0	0	75	0
1	0	12	1	1289	0	0	0	21	0
0	0	36	1	2712	0	1	0	41	0
1	0	15	1	975	0	0	0	25	0
1	0	6	1	1050	0	0	0	35	0
1	0	6	1	609	0	1	0	37	0
1	0	48	1	4788	0	1	0	26	0
1	0	24	1	3069	1	1	0	30	1
0	0	12	1	836	1	0	0	23	0
1	0	12	1	2577	0	0	0	42	0
1	0	12	1	1620	0	0	0	30	0
1	0	15	1	1845	0	0	0	46	0
1	0	24	1	6579	0	0	0	29	1
1	0	12	1	1893	0	0	0	29	0
1	0	30	1	10623	0	1	0	38	1
1	0	18	1	2249	1	1	0	30	0
0	0	30	1	3108	0	0	0	31	0
1	0	12	1	958	0	1	0	47	0
1	1	24	1	9277	1	0	0	48	1
1	1	24	1	6314	0	0	0	27	0
1	0	12	1	1526	0	1	0	66	1
1	0	12	1	3590	0	0	0	29	0
1	0	24	1	6615	0	0	0	75	1
1	0	6	1	1872	0	0	0	36	1
1	1	12	1	2859	1	0	0	38	0
1	1	18	1	1582	1	1	0	46	0
1	1	6	1	1238	1	0	0	36	0
1	0	12	1	2578	0	0	0	55	1
1	0	15	1	1433	0	0	0	25	0
1	0	42	1	7882	0	1	0	45	1
1	0	24	1	4169	0	0	0	28	0
1	0	36	1	3959	0	0	0	30	0
1	0	36	1	3249	0	1	0	39	1
1	0	24	1	3149	0	0	0	22	1
0	0	12	1	2246	0	1	0	60	0
1	0	13	1	1797	0	0	0	28	0
1	0	20	1	4272	0	1	0	24	0
1	0	24	1	2957	0	1	0	63	0
1	0	36	1	2348	0	0	1	46	0
1	0	42	0	6289	0	0	0	33	0
1	0	24	1	6419	0	1	0	44	1
0	0	48	1	6143	0	1	0	58	1
1	1	24	1	1597	0	1	0	54	1
1	0	36	1	15857	0	0	0	43	0
1	1	24	1	2223	1	1	0	52	0
1	1	48	1	7238	1	1	0	32	0
1	0	30	1	2503	1	1	0	41	0
1	0	18	1	2622	1	0	0	34	0
1	0	24	1	4351	1	0	0	48	0
1	0	6	1	368	1	1	0	38	0
1	0	12	1	754	1	1	0	38	0
1	1	24	1	2424	1	1	0	53	0
1	0	48	1	6681	1	0	0	38	1
1	0	18	1	2427	1	1	0	42	0
0	0	24	1	1216	1	0	0	38	0
1	0	6	1	753	0	0	0	64	0
1	0	7	1	2576	0	0	0	35	0
1	0	6	1	590	0	0	1	26	0
1	0	8	1	1414	0	0	0	33	0
1	0	12	1	1103	0	1	0	29	0
1	0	12	1	585	0	0	1	20	0
1	0	6	1	1068	0	1	0	28	0
1	0	8	1	713	0	1	0	47	0
